SNo,State,Capital,,
1,Abia State,Umuahia,,
2,Adamawa State,Yola,,
3,Akwa Ibom State,Uyo,,
4,Anambra State,Awka,,
5,Bauchi State,Bauchi,,
6,Bayelsa State,Yenagoa,,
7,Benue State,Makurdi,,
8,Borno State,Maiduguri,,
9,Cross River State,Calabar,,
10,Delta State,Asaba,,
11,Ebonyi State,Abakaliki,,
12,Edo State,Benin City,,
13,Ekiti State,Ado-Ekiti,,
14,Enugu State,Enugu,,
15,Federal Capital Territory,Abuja,,
16,Gombe State,Gombe,,
17,Imo State,Owerri,,
18,Jigawa State,Dutse,,
19,Kaduna State,Kaduna,,
20,Kano State,Kano,,
21,Katsina State,Katsina,,
22,Kebbi State,Birnin Kebbi,,
23,Kogi State,Lokoja,,
24,Kwara State,Ilorin,,
25,Lagos State,Ikeja,,
26,Nasarawa State,Lafia,,
27,Niger State,Minna,,
28,Ogun State,Abeokuta,,
29,Ondo State,Akure,,
30,Osun State,Oshogbo,,
31,Oyo State,Ibadan,,
32,Plateau State,Jos,,
33,Rivers State,Port Harcourt,,
34,Sokoto State,Sokoto,,
35,Taraba State,Jalingo,,
36,Yobe State,Damaturu,,
37,Zamfara State,Gusau,,
,,,,
For other more formats kindly visit www.downloadexcelfiles.com,,,,
,,,,
Original source : en.wikipedia.org/wiki/List_of_capitals_of_states_of_Nigeria,,,,
