state,capital,latitude,longitude
Federal Capital Territory,Abuja,9.0579,7.4951
Lagos,Lagos,6.5244,3.3792
Kano,Kano,12.0022,8.591956
Oyo,Ibadan,7.3776,3.9476
Rivers,Port Harcourt,4.8175,7.0146
Enugu,Enugu,6.5244,7.5106
Edo,Benin City,6.3350,5.6270
Kaduna,Kaduna,10.5264,7.4388
Imo,Owerri,5.4836,7.0263
Plateau,Jos,9.9169,8.8969
Akwa Ibom,Uyo,5.0333,7.9262
Adamawa,Yola,9.2099,12.4818
Anambra,Awka,6.2104,7.0667
Bauchi,Bauchi,10.3236,9.8472
Bayelsa,Yenagoa,4.9247,6.2640
Benue,Makurdi,7.7390,8.5367
Borno,Maiduguri,11.8470,13.1600
Cross River,Calabar,4.9828,8.3239
Delta,Asaba,6.1985,6.7274
Ebonyi,Abakaliki,6.3243,8.1137
Ekiti,Ado Ekiti,7.6232,5.2209
Gombe,Gombe,10.2908,11.1684
Jigawa,Dutse,11.7598,9.3385
Katsina,Katsina,12.9822,7.6179
Kebbi,Birnin Kebbi,12.4484,4.1994
Kogi,Lokoja,7.8005,6.7399
Kwara,Ilorin,8.4961,4.5426
Nasarawa,Lafia,8.4939,8.5150
Niger,Minna,9.6134,6.5563
Ogun,Abeokuta,7.1604,3.3453
Ondo,Akure,7.2633,5.1992
Osun,Osogbo,7.7496,4.5565
Sokoto,Sokoto,13.0496,5.2570
Taraba,Jalingo,8.8879,11.3602
Yobe,Damaturu,11.7480,11.9632
Zamfara,Gusau,12.1721,6.6619
